"TOA5","5107","CR350","5107","CR350-CELL220.Std.01.05","CPU:SchoolA_1_Roof_script.CRB","34763","SchoolA_1_Roof"
"TIMESTAMP","RECORD","BP_mbar_Avg","RH_Avg","AirT_C_Avg","DP_C_Avg","WS_ms_Avg","WindDir_Avg","RainITX_mm","MetSENS_Status","BlackGlobe_C_Avg","TdC_Avg","TwC_Avg","WBGT_C_Avg","logger_BattV_Avg","logger_Temp_C_Avg"
"TS","RN","mbar","%RH","Deg C","Deg C","meters/second","degrees","","","Deg C","Deg C","Deg C","","Volts","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2024-04-16 00:01:00",456,1009.701,80,29.17,25.64,0.943,100.3,0,"OK",28.29,25.38,26.35,27.02,13.24,33.36
"2024-04-16 00:02:00",457,1009.701,80,29.23,25.69,1.136,68.08,0,"OK",28.29,25.45,26.42,27.07,13.24,33.35
"2024-04-16 00:03:00",458,1009.701,80,29.15,25.63,1.548,51.62,0,"OK",28.28,25.36,26.33,27,13.24,33.34
"2024-04-16 00:04:00",459,1009.701,80.38461,29.07,25.62,1.128,84.3,0,"OK",28.27,25.36,26.31,26.98,13.24,33.34
"2024-04-16 00:05:00",460,1009.701,80,29.24,25.7,0.995,120.2,0,"OK",28.26,25.45,26.42,27.07,13.24,33.34
"2024-04-16 00:06:00",461,1009.708,80,29.15,25.63,1.42,48.23,0,"OK",28.25,25.36,26.33,27,13.24,33.33
"2024-04-16 00:07:00",462,1009.701,80,29.2,25.66,1.318,40.54,0,"OK",28.25,25.41,26.38,27.04,13.24,33.32
"2024-04-16 00:08:00",463,1009.701,80,29.26,25.69,0.838,98.2,0,"OK",28.24,25.47,26.44,27.08,13.24,33.32
"2024-04-16 00:09:00",464,1009.701,80,29.22,25.66,1.112,46.46,0,"OK",28.24,25.43,26.4,27.05,13.24,33.31
"2024-04-16 00:10:00",465,1009.701,80,29.28,25.7,0.965,51.31,0,"OK",28.23,25.49,26.46,27.1,13.24,33.31
"2024-04-16 00:11:00",466,1009.701,80,29.25,25.7,0.848,59.15,0,"OK",28.22,25.45,26.42,27.07,13.23,33.3
"2024-04-16 00:12:00",467,1009.701,79.30769,29.38,25.7,0.912,66.31,0,"OK",28.21,25.43,26.44,27.09,13.23,33.29
"2024-04-16 00:13:00",468,1009.678,80,29.27,25.7,1.106,43.31,0,"OK",28.2,25.48,26.45,27.08,13.23,33.28
"2024-04-16 00:14:00",469,1009.701,80,29.25,25.7,1.176,67.77,0,"OK",28.19,25.45,26.42,27.06,13.23,33.27
"2024-04-16 00:15:00",470,1009.701,80,29.25,25.71,1.035,71,0,"OK",28.19,25.46,26.43,27.07,13.23,33.27
"2024-04-16 00:16:00",471,1009.701,80,29.3,25.7,1.078,45.77,0,"OK",28.19,25.51,26.48,27.1,13.23,33.26
"2024-04-16 00:17:00",472,1009.701,80,29.36,25.76,0.717,53.69,0,"OK",28.19,25.57,26.53,27.14,13.23,33.25
"2024-04-16 00:18:00",473,1009.701,80,29.36,25.77,0.645,101.6,0,"OK",28.19,25.57,26.53,27.14,13.23,33.25
"2024-04-16 00:19:00",474,1009.678,79.07692,29.45,25.8,0.535,90.5,0,"OK",28.2,25.45,26.47,27.11,13.23,33.24
"2024-04-16 00:20:00",475,1009.701,79.07692,29.48,25.8,0.697,42.54,0,"OK",28.19,25.48,26.5,27.14,13.23,33.24
"2024-04-16 00:21:00",476,1009.624,79,29.5,25.8,0.538,74.23,0,"OK",28.19,25.49,26.51,27.15,13.23,33.23
"2024-04-16 00:22:00",477,1009.608,79.84615,29.41,25.78,1.042,37.62,0,"OK",28.19,25.58,26.55,27.16,13.23,33.23
"2024-04-16 00:23:00",478,1009.601,80,29.38,25.79,1.003,32.92,0,"OK",28.2,25.59,26.55,27.16,13.23,33.22
"2024-04-16 00:24:00",479,1009.601,80,29.4,25.8,0.942,73.62,0,"OK",28.2,25.6,26.56,27.17,13.23,33.22
"2024-04-16 00:25:00",480,1009.601,80,29.34,25.79,0.907,41.23,0,"OK",28.2,25.54,26.51,27.13,13.23,33.22
"2024-04-16 00:26:00",481,1009.601,80,29.34,25.8,1.023,60.85,0,"OK",28.19,25.54,26.51,27.13,13.23,33.21
"2024-04-16 00:27:00",482,1009.601,80,29.37,25.8,0.631,156.2,0,"OK",28.18,25.57,26.53,27.15,13.23,33.21
"2024-04-16 00:28:00",483,1009.578,80,29.32,25.78,1.011,74.38,0,"OK",28.18,25.52,26.49,27.11,13.23,33.21
"2024-04-16 00:29:00",484,1009.547,79.76923,29.41,25.8,0.577,70.92,0,"OK",28.18,25.56,26.53,27.15,13.23,33.2
"2024-04-16 00:30:00",485,1009.501,79.23077,29.4,25.75,0.637,107.5,0,"OK",28.18,25.44,26.45,27.09,13.23,33.2
"2024-04-16 00:31:00",486,1009.501,79,29.42,25.72,0.838,137.3,0,"OK",28.18,25.41,26.44,27.09,13.23,33.2
"2024-04-16 00:32:00",487,1009.493,79.15385,29.4,25.7,0.847,158.3,0,"OK",28.19,25.42,26.44,27.09,13.23,33.2
