,TIMESTAMP,RECORD,BattV,PTemp_C,T108_C,Unnamed: 5,Unnamed: 6,Unnamed: 7
-1,TOA5,CR300Series,CR350,5109,CR350-CELL220.Std.01.04,CPU:BG Sensor.CRB,50250,Table1
0,2023-09-20 02:10:00,0.0,11.87,27.72,25.56,,,
1,2023-09-20 02:11:00,1.0,11.88,27.86,25.55,,,
2,2023-09-20 02:12:00,2.0,11.89,27.95,25.54,,,
3,2023-09-20 02:13:00,3.0,11.89,28.01,25.54,,,
4,2023-09-20 02:14:00,4.0,11.88,28.08,25.54,,,
5,2023-09-20 02:15:00,5.0,11.92,28.14,25.53,,,
6,2023-09-20 02:16:00,6.0,11.88,28.18,25.53,,,
7,2023-09-20 02:17:00,7.0,11.89,28.23,25.52,,,
8,2023-09-20 02:18:00,8.0,11.89,28.27,25.52,,,
9,2023-09-20 02:19:00,9.0,11.92,28.31,25.52,,,
10,2023-09-20 02:20:00,10.0,11.89,28.35,25.51,,,
11,2023-09-20 02:21:00,11.0,11.89,28.4,25.51,,,
12,2023-09-20 02:22:00,12.0,11.89,28.43,25.51,,,
13,2023-09-20 02:23:00,13.0,11.88,28.46,25.53,,,
14,2023-09-20 02:24:00,14.0,11.92,28.5,25.55,,,
15,2023-09-20 02:25:00,15.0,11.87,28.54,25.58,,,
16,2023-09-20 02:26:00,16.0,11.89,28.58,25.61,,,
17,2023-09-20 02:27:00,17.0,11.87,28.61,25.63,,,
18,2023-09-20 02:28:00,18.0,11.91,28.65,25.65,,,
19,2023-09-20 02:29:00,19.0,11.88,28.68,25.67,,,
20,2023-09-20 02:30:00,20.0,11.89,28.71,25.68,,,
21,2023-09-20 02:31:00,21.0,11.88,28.73,25.69,,,
22,2023-09-20 02:32:00,22.0,11.89,28.76,25.71,,,
23,2023-09-20 02:33:00,23.0,11.89,28.8,25.71,,,
24,2023-09-20 02:34:00,24.0,11.87,28.81,25.72,,,
25,2023-09-20 02:35:00,25.0,11.88,28.84,25.72,,,
26,2023-09-19 03:28:00,0.0,11.86,26.09,23.95,,,
27,2023-09-19 21:06:00,1.0,11.84,28.17,NAN,,,
28,2023-09-19 21:07:00,2.0,11.98,28.34,NAN,,,
29,2023-09-19 21:08:00,3.0,11.99,28.46,NAN,,,
30,2023-09-19 21:09:00,4.0,11.97,28.61,25.96,,,
31,2023-09-19 21:10:00,5.0,11.98,28.83,25.97,,,
32,2023-09-19 21:11:00,6.0,11.96,29.0,25.99,,,
33,2023-09-19 21:12:00,7.0,11.95,29.16,26,,,
34,2023-09-19 21:13:00,8.0,11.85,29.27,26.02,,,
35,2023-09-19 21:14:00,9.0,11.85,29.38,26.03,,,
36,2023-09-19 21:15:00,10.0,11.88,29.48,26.02,,,
37,2023-09-19 21:16:00,11.0,11.86,29.57,26.02,,,
38,2023-09-19 21:17:00,12.0,11.89,29.66,26.02,,,
39,2023-09-19 21:18:00,13.0,11.86,29.75,26.02,,,
40,2023-09-19 21:19:00,14.0,11.91,29.83,26.01,,,
41,2023-09-19 21:20:00,15.0,11.88,29.92,25.99,,,
42,2023-09-19 21:21:00,16.0,11.86,29.99,25.98,,,
43,2023-09-19 21:22:00,17.0,11.91,30.06,25.97,,,
44,2023-09-19 21:23:00,18.0,11.88,30.12,25.97,,,
45,2023-09-19 21:24:00,19.0,11.87,30.19,25.96,,,
46,2023-09-19 21:25:00,20.0,11.86,30.25,25.96,,,
47,2023-09-19 21:26:00,21.0,11.87,30.31,25.95,,,
48,2023-09-19 21:27:00,22.0,11.87,30.4,25.94,,,
49,2023-09-19 21:28:00,23.0,11.87,30.48,25.93,,,
50,2023-09-19 21:29:00,24.0,11.87,30.56,25.93,,,
51,2023-09-19 21:30:00,25.0,11.85,30.65,25.92,,,
