,TOA5,CR300Series_2,CR350,5107,CR350-CELL220.Std.01.04,CPU:BG Sensor.CRB,50250,Table1
0,TIMESTAMP,RECORD,BattV,PTemp_C,T108_C,,,
1,TS,RN,Volts,Deg C,Deg C,,,
2,,,Smp,Smp,Smp,,,
3,2023-09-19 03:28:00,0,11.86,26.09,23.95,,,
4,2023-09-19 21:06:00,1,11.84,28.17,NAN,,,
5,2023-09-19 21:07:00,2,11.98,28.34,NAN,,,
6,2023-09-19 21:08:00,3,11.99,28.46,NAN,,,
7,2023-09-19 21:09:00,4,11.97,28.61,25.96,,,
8,2023-09-19 21:10:00,5,11.98,28.83,25.97,,,
9,2023-09-19 21:11:00,6,11.96,29,25.99,,,
10,2023-09-19 21:12:00,7,11.95,29.16,26,,,
11,2023-09-19 21:13:00,8,11.85,29.27,26.02,,,
12,2023-09-19 21:14:00,9,11.85,29.38,26.03,,,
13,2023-09-19 21:15:00,10,11.88,29.48,26.02,,,
14,2023-09-19 21:16:00,11,11.86,29.57,26.02,,,
15,2023-09-19 21:17:00,12,11.89,29.66,26.02,,,
16,2023-09-19 21:18:00,13,11.86,29.75,26.02,,,
17,2023-09-19 21:19:00,14,11.91,29.83,26.01,,,
18,2023-09-19 21:20:00,15,11.88,29.92,25.99,,,
19,2023-09-19 21:21:00,16,11.86,29.99,25.98,,,
20,2023-09-19 21:22:00,17,11.91,30.06,25.97,,,
21,2023-09-19 21:23:00,18,11.88,30.12,25.97,,,
22,2023-09-19 21:24:00,19,11.87,30.19,25.96,,,
23,2023-09-19 21:25:00,20,11.86,30.25,25.96,,,
24,2023-09-19 21:26:00,21,11.87,30.31,25.95,,,
25,2023-09-19 21:27:00,22,11.87,30.4,25.94,,,
26,2023-09-19 21:28:00,23,11.87,30.48,25.93,,,
27,2023-09-19 21:29:00,24,11.87,30.56,25.93,,,
28,2023-09-19 21:30:00,25,11.85,30.65,25.92,,,
0,TIMESTAMP,RECORD,BattV,PTemp_C,T108_C,,,
1,TS,RN,Volts,Deg C,Deg C,,,
2,,,Smp,Smp,Smp,,,
3,2023-09-20 02:10:00,0,11.87,27.72,25.56,,,
4,2023-09-20 02:11:00,1,11.88,27.86,25.55,,,
5,2023-09-20 02:12:00,2,11.89,27.95,25.54,,,
6,2023-09-20 02:13:00,3,11.89,28.01,25.54,,,
7,2023-09-20 02:14:00,4,11.88,28.08,25.54,,,
8,2023-09-20 02:15:00,5,11.92,28.14,25.53,,,
9,2023-09-20 02:16:00,6,11.88,28.18,25.53,,,
10,2023-09-20 02:17:00,7,11.89,28.23,25.52,,,
11,2023-09-20 02:18:00,8,11.89,28.27,25.52,,,
12,2023-09-20 02:19:00,9,11.92,28.31,25.52,,,
13,2023-09-20 02:20:00,10,11.89,28.35,25.51,,,
14,2023-09-20 02:21:00,11,11.89,28.4,25.51,,,
15,2023-09-20 02:22:00,12,11.89,28.43,25.51,,,
16,2023-09-20 02:23:00,13,11.88,28.46,25.53,,,
17,2023-09-20 02:24:00,14,11.92,28.5,25.55,,,
18,2023-09-20 02:25:00,15,11.87,28.54,25.58,,,
19,2023-09-20 02:26:00,16,11.89,28.58,25.61,,,
20,2023-09-20 02:27:00,17,11.87,28.61,25.63,,,
21,2023-09-20 02:28:00,18,11.91,28.65,25.65,,,
22,2023-09-20 02:29:00,19,11.88,28.68,25.67,,,
23,2023-09-20 02:30:00,20,11.89,28.71,25.68,,,
24,2023-09-20 02:31:00,21,11.88,28.73,25.69,,,
25,2023-09-20 02:32:00,22,11.89,28.76,25.71,,,
26,2023-09-20 02:33:00,23,11.89,28.8,25.71,,,
27,2023-09-20 02:34:00,24,11.87,28.81,25.72,,,
28,2023-09-20 02:35:00,25,11.88,28.84,25.72,,,
