"TOA5","5107","CR350","5107","CR350-CELL220.Std.01.05","CPU:SchoolA_1_Roof_script.CRB","34763","SchoolA_1_Roof"
"TIMESTAMP","RECORD","BP_mbar_Avg","RH_Avg","AirT_C_Avg","DP_C_Avg","WS_ms_Avg","WindDir_Avg","RainITX_mm","MetSENS_Status","BlackGlobe_C_Avg","TdC_Avg","TwC_Avg","WBGT_C_Avg","logger_BattV_Avg","logger_Temp_C_Avg"
"TS","RN","mbar","%RH","Deg C","Deg C","meters/second","degrees","","","Deg C","Deg C","Deg C","","Volts","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2024-04-18 00:01:00",3336,1008.001,82,28.76,25.67,0.214,53.85,0,"OK",26.79,25.4,26.26,26.61,13.24,32.51
"2024-04-18 00:02:00",3337,1008.001,82,28.76,25.65,0.358,199.6,0,"OK",26.77,25.4,26.26,26.61,13.23,32.51
"2024-04-18 00:03:00",3338,1008.001,82.76923,28.47,25.51,0.321,311.8,0,"OK",26.75,25.27,26.09,26.46,13.23,32.51
"2024-04-18 00:04:00",3339,1008.001,82.69231,28.56,25.6,0.356,171.9,0,"OK",26.73,25.34,26.17,26.52,13.24,32.5
"2024-04-18 00:05:00",3340,1008.001,82.46154,28.55,25.54,0.378,293.2,0,"OK",26.72,25.3,26.13,26.49,13.24,32.49
"2024-04-18 00:06:00",3341,1008.001,83,28.43,25.53,0.253,275.8,0,"OK",26.71,25.28,26.08,26.44,13.23,32.48
"2024-04-18 00:07:00",3342,1008.001,82.53846,28.58,25.56,0.455,236.2,0,"OK",26.7,25.33,26.17,26.51,13.24,32.47
"2024-04-18 00:08:00",3343,1008.001,83,28.5,25.57,0.425,306.5,0,"OK",26.69,25.35,26.15,26.49,13.23,32.46
"2024-04-18 00:09:00",3344,1008.001,82.92308,28.54,25.56,0.423,202.5,0,"OK",26.68,25.37,26.18,26.52,13.23,32.45
"2024-04-18 00:10:00",3345,1008.001,83,28.48,25.52,0.368,237.2,0,"OK",26.68,25.33,26.14,26.48,13.24,32.44
"2024-04-18 00:11:00",3346,1008.001,82.07692,28.52,25.49,0.314,235.7,0,"OK",26.67,25.18,26.04,26.41,13.23,32.42
"2024-04-18 00:12:00",3347,1008.001,82,28.55,25.49,0.332,87.1,0,"OK",26.67,25.19,26.05,26.42,13.23,32.41
"2024-04-18 00:13:00",3348,1008.001,82.23077,28.56,25.5,0.668,31.31,0,"OK",26.66,25.25,26.1,26.46,13.23,32.4
"2024-04-18 00:14:00",3349,1008.001,83,28.45,25.5,0.675,90.5,0,"OK",26.67,25.29,26.1,26.45,13.23,32.39
"2024-04-18 00:15:00",3350,1008.001,83,28.41,25.51,0.392,149.2,0,"OK",26.67,25.26,26.06,26.42,13.23,32.38
"2024-04-18 00:16:00",3351,1008.001,83,28.45,25.56,0.412,122.2,0,"OK",26.67,25.29,26.1,26.45,13.23,32.37
"2024-04-18 00:17:00",3352,1008.001,83,28.44,25.55,0.541,50.92,0,"OK",26.67,25.29,26.09,26.44,13.23,32.36
"2024-04-18 00:18:00",3353,1008.001,83,28.43,25.58,0.478,61.85,0,"OK",26.67,25.28,26.08,26.44,13.23,32.35
"2024-04-18 00:19:00",3354,1007.916,83,28.45,25.58,0.421,28,0,"OK",26.66,25.29,26.1,26.45,13.23,32.33
"2024-04-18 00:20:00",3355,1007.901,83,28.48,25.56,0.371,206.3,0,"OK",26.65,25.32,26.13,26.47,13.23,32.32
"2024-04-18 00:21:00",3356,1007.901,83,28.42,25.53,0.292,277.3,0,"OK",26.64,25.26,26.07,26.42,13.23,32.32
"2024-04-18 00:22:00",3357,1007.901,83,28.34,25.47,0.304,151.4,0,"OK",26.63,25.19,25.99,26.36,13.23,32.31
"2024-04-18 00:23:00",3358,1007.901,82.69231,28.48,25.5,0.266,114.8,0,"OK",26.61,25.26,26.08,26.43,13.23,32.29
"2024-04-18 00:24:00",3359,1007.901,82.23077,28.55,25.49,0.357,247.8,0,"OK",26.6,25.24,26.09,26.44,13.23,32.29
"2024-04-18 00:25:00",3360,1007.893,83,28.32,25.41,0.479,227.3,0,"OK",26.58,25.17,25.97,26.33,13.23,32.28
"2024-04-18 00:26:00",3361,1007.816,82.92308,28.39,25.43,0.335,87.8,0,"OK",26.57,25.24,26.05,26.39,13.23,32.27
"2024-04-18 00:27:00",3362,1007.801,82.84615,28.37,25.42,0.391,327.1,0,"OK",26.57,25.19,26,26.35,13.23,32.26
"2024-04-18 00:28:00",3363,1007.801,83.23077,28.21,25.4,0.483,257.1,0,"OK",26.56,25.11,25.91,26.27,13.23,32.25
"2024-04-18 00:29:00",3364,1007.801,83.38461,28.17,25.35,0.449,304.5,0,"OK",26.55,25.1,25.89,26.25,13.22,32.24
"2024-04-18 00:30:00",3365,1007.801,83.69231,28.14,25.36,0.33,238.8,0,"OK",26.54,25.13,25.91,26.26,13.23,32.23
"2024-04-18 00:31:00",3366,1007.739,83,28.26,25.39,0.556,208,0,"OK",26.54,25.11,25.92,26.28,13.22,32.22
