"TOA5","5460","CR350","5460","CR350-CELL220.Std.01.05","CPU:SchoolA_2_script.CRB","28498","SchoolA_2"
"TIMESTAMP","RECORD","BP_mbar_Avg","RH_Avg","AirT_C_Avg","DP_C_Avg","WS_ms_Avg","WindDir_Avg","RainITX_mm","MetSENS_Status","BlackGlobe_C_Avg","TdC_Avg","TwC_Avg","WBGT_C_Avg","logger_BattV_Avg","logger_Temp_C_Avg"
"TS","RN","mbar","%RH","Deg C","Deg C","meters/second","degrees","","","Deg C","Deg C","Deg C","","Volts","Deg C"
"","","Avg","Avg","Avg","Avg","Avg","Avg","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2024-04-18 00:01:00",3301,1009.208,81.92308,28.9,25.78,1000,999,0,"Wind Fault",27.51,25.52,26.37,26.85,13.27,31.42
"2024-04-18 00:02:00",3302,1009.208,82,28.9,25.79,1000,999,0,"Wind Fault",27.5,25.53,26.38,26.86,13.26,31.42
"2024-04-18 00:03:00",3303,1009.201,81.46154,28.92,25.8,1000,999,0,"Wind Fault",27.48,25.44,26.32,26.81,13.27,31.43
"2024-04-18 00:04:00",3304,1009.201,81.53846,28.95,25.8,1000,999,0,"Wind Fault",27.46,25.48,26.36,26.84,13.27,31.42
"2024-04-18 00:05:00",3305,1009.201,81.76923,28.98,25.8,1000,999,0,"Wind Fault",27.45,25.56,26.42,26.88,13.27,31.42
"2024-04-18 00:06:00",3306,1009.201,81.84615,28.96,25.8,1000,999,0,"Wind Fault",27.44,25.56,26.42,26.88,13.27,31.4
"2024-04-18 00:07:00",3307,1009.201,81.15385,28.97,25.78,1000,999,0,"Wind Fault",27.43,25.42,26.33,26.81,13.27,31.4
"2024-04-18 00:08:00",3308,1009.201,81.61539,28.91,25.78,1000,999,0,"Wind Fault",27.42,25.45,26.33,26.8,13.27,31.39
"2024-04-18 00:09:00",3309,1009.201,81.53846,28.94,25.8,1000,999,0,"Wind Fault",27.41,25.47,26.35,26.82,13.26,31.38
"2024-04-18 00:10:00",3310,1009.201,81.38461,28.9,25.75,1000,999,0,"Wind Fault",27.4,25.41,26.29,26.78,13.26,31.37
"2024-04-18 00:11:00",3311,1009.201,81.53846,28.89,25.7,1000,999,0,"Wind Fault",27.39,25.43,26.31,26.78,13.26,31.36
"2024-04-18 00:12:00",3312,1009.201,81,28.9,25.75,1000,999,0,"Wind Fault",27.38,25.33,26.24,26.73,13.26,31.34
"2024-04-18 00:13:00",3313,1009.201,81,28.9,25.72,1000,999,0,"Wind Fault",27.38,25.33,26.24,26.73,13.26,31.33
"2024-04-18 00:14:00",3314,1009.201,81.23077,28.84,25.65,1000,999,0,"Wind Fault",27.37,25.31,26.22,26.71,13.26,31.31
"2024-04-18 00:15:00",3315,1009.201,82,28.72,25.65,1000,999,0,"Wind Fault",27.36,25.36,26.22,26.7,13.26,31.3
"2024-04-18 00:16:00",3316,1009.201,82,28.72,25.68,1000,999,0,"Wind Fault",27.35,25.35,26.21,26.69,13.26,31.29
"2024-04-18 00:17:00",3317,1009.201,82,28.8,25.7,1000,999,0,"Wind Fault",27.35,25.43,26.3,26.76,13.26,31.28
"2024-04-18 00:18:00",3318,1009.201,82,28.85,25.72,1000,999,0,"Wind Fault",27.34,25.48,26.33,26.79,13.26,31.27
"2024-04-18 00:19:00",3319,1009.201,82,28.81,25.72,1000,999,0,"Wind Fault",27.34,25.43,26.3,26.75,13.26,31.26
"2024-04-18 00:20:00",3320,1009.201,82,28.85,25.77,1000,999,0,"Wind Fault",27.33,25.48,26.33,26.79,13.26,31.25
"2024-04-18 00:21:00",3321,1009.155,82,28.7,25.65,1000,999,0,"Wind Fault",27.33,25.34,26.2,26.67,13.26,31.23
"2024-04-18 00:22:00",3322,1009.178,82.38461,28.55,25.61,1000,999,0,"Wind Fault",27.32,25.27,26.11,26.6,13.26,31.22
"2024-04-18 00:23:00",3323,1009.124,83,28.57,25.69,1000,999,0,"Wind Fault",27.31,25.41,26.22,26.67,13.26,31.21
"2024-04-18 00:24:00",3324,1009.116,82.30769,28.68,25.7,1000,999,0,"Wind Fault",27.3,25.38,26.23,26.69,13.26,31.2
"2024-04-18 00:25:00",3325,1009.101,82,28.7,25.7,1000,999,0,"Wind Fault",27.3,25.34,26.2,26.67,13.26,31.18
"2024-04-18 00:26:00",3326,1009.078,82,28.78,25.7,1000,999,0,"Wind Fault",27.29,25.41,26.27,26.73,13.26,31.18
"2024-04-18 00:27:00",3327,1009.001,82,28.8,25.7,1000,999,0,"Wind Fault",27.29,25.43,26.3,26.74,13.26,31.17
"2024-04-18 00:28:00",3328,1009.001,82,28.79,25.69,1000,999,0,"Wind Fault",27.28,25.43,26.29,26.74,13.26,31.16
"2024-04-18 00:29:00",3329,1009.001,82,28.72,25.69,1000,999,0,"Wind Fault",27.27,25.35,26.21,26.67,13.26,31.15
"2024-04-18 00:30:00",3330,1009.001,82,28.8,25.7,1000,999,0,"Wind Fault",27.26,25.43,26.3,26.74,13.26,31.14
