TIMESTAMP,Data1,RECORD,BP_mbar_Avg,RH_Avg,AirT_C_Avg,DP_C_Avg,WS_ms_Avg,WindDir_Avg,RainITX_mm,MetSENS_Status,BlackGlobe_C_Avg,TdC_Avg,TwC_Avg,WBGT_C_Avg,logger_BattV_Avg,logger_Temp_C_Avg,Data2,RECORD,BP_mbar_Avg,RH_Avg,AirT_C_Avg,DP_C_Avg,WS_ms_Avg,WindDir_Avg,RainITX_mm,MetSENS_Status,BlackGlobe_C_Avg,TdC_Avg,TwC_Avg,WBGT_C_Avg,logger_BattV_Avg,logger_Temp_C_Avg
TS,data1,RN,mbar,%RH,Deg C,Deg C,meters/second,degrees,,,Deg C,Deg C,Deg C,,Volts,Deg C,data2,RN,mbar,%RH,Deg C,Deg C,meters/second,degrees,,,Deg C,Deg C,Deg C,,Volts,Deg C
,data1,,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg,data2,,Avg,Avg,Avg,Avg,Avg,Avg,Smp,Smp,Avg,Avg,Avg,Avg,Avg,Avg
2024-04-18 00:01:00,data1,3336,1008.001,82,28.76,25.67,0.214,53.85,0,OK,26.79,25.4,26.26,26.61,13.24,32.51,data2,3301,1009.208,81.92308,28.9,25.78,1000,999,0,Wind Fault,27.51,25.52,26.37,26.85,13.27,31.42
2024-04-18 00:02:00,data1,3337,1008.001,82,28.76,25.65,0.358,199.6,0,OK,26.77,25.4,26.26,26.61,13.23,32.51,data2,3302,1009.208,82,28.9,25.79,1000,999,0,Wind Fault,27.5,25.53,26.38,26.86,13.26,31.42
2024-04-18 00:03:00,data1,3338,1008.001,82.76923,28.47,25.51,0.321,311.8,0,OK,26.75,25.27,26.09,26.46,13.23,32.51,data2,3303,1009.201,81.46154,28.92,25.8,1000,999,0,Wind Fault,27.48,25.44,26.32,26.81,13.27,31.43
2024-04-18 00:04:00,data1,3339,1008.001,82.69231,28.56,25.6,0.356,171.9,0,OK,26.73,25.34,26.17,26.52,13.24,32.5,data2,3304,1009.201,81.53846,28.95,25.8,1000,999,0,Wind Fault,27.46,25.48,26.36,26.84,13.27,31.42
2024-04-18 00:05:00,data1,3340,1008.001,82.46154,28.55,25.54,0.378,293.2,0,OK,26.72,25.3,26.13,26.49,13.24,32.49,data2,3305,1009.201,81.76923,28.98,25.8,1000,999,0,Wind Fault,27.45,25.56,26.42,26.88,13.27,31.42
2024-04-18 00:06:00,data1,3341,1008.001,83,28.43,25.53,0.253,275.8,0,OK,26.71,25.28,26.08,26.44,13.23,32.48,data2,3306,1009.201,81.84615,28.96,25.8,1000,999,0,Wind Fault,27.44,25.56,26.42,26.88,13.27,31.4
2024-04-18 00:07:00,data1,3342,1008.001,82.53846,28.58,25.56,0.455,236.2,0,OK,26.7,25.33,26.17,26.51,13.24,32.47,data2,3307,1009.201,81.15385,28.97,25.78,1000,999,0,Wind Fault,27.43,25.42,26.33,26.81,13.27,31.4
2024-04-18 00:08:00,data1,3343,1008.001,83,28.5,25.57,0.425,306.5,0,OK,26.69,25.35,26.15,26.49,13.23,32.46,data2,3308,1009.201,81.61539,28.91,25.78,1000,999,0,Wind Fault,27.42,25.45,26.33,26.8,13.27,31.39
2024-04-18 00:09:00,data1,3344,1008.001,82.92308,28.54,25.56,0.423,202.5,0,OK,26.68,25.37,26.18,26.52,13.23,32.45,data2,3309,1009.201,81.53846,28.94,25.8,1000,999,0,Wind Fault,27.41,25.47,26.35,26.82,13.26,31.38
2024-04-18 00:10:00,data1,3345,1008.001,83,28.48,25.52,0.368,237.2,0,OK,26.68,25.33,26.14,26.48,13.24,32.44,data2,3310,1009.201,81.38461,28.9,25.75,1000,999,0,Wind Fault,27.4,25.41,26.29,26.78,13.26,31.37
2024-04-18 00:11:00,data1,3346,1008.001,82.07692,28.52,25.49,0.314,235.7,0,OK,26.67,25.18,26.04,26.41,13.23,32.42,data2,3311,1009.201,81.53846,28.89,25.7,1000,999,0,Wind Fault,27.39,25.43,26.31,26.78,13.26,31.36
2024-04-18 00:12:00,data1,3347,1008.001,82,28.55,25.49,0.332,87.1,0,OK,26.67,25.19,26.05,26.42,13.23,32.41,data2,3312,1009.201,81,28.9,25.75,1000,999,0,Wind Fault,27.38,25.33,26.24,26.73,13.26,31.34
